name,ra,dec,e_pos_raw,field,cat,F,e_pos_1sig,e_pos_95,tract,patch,DP1_flag,obj_flag,dia_flag,objectId,n_obj_inner,n_obj_outer,r_inner,r_outer,area_inner_asec2,area_outer_asec2,area_inner_deg2,area_outer_deg2,N_deg2,N_asec2
4XMM J032948.1-275735,52.450711864908,-27.959914058128,1.9335590600967407,ECDFS,4XMMDR14,1.0233748730706892e-14,2.072410568163709,4.061924713600869,5063,28,True,True,False,6.112553475202145e+17,3,14,8.289642272654836,20.0,215.88448046181244,1256.6370659774598,1.6657753122053433e-05,9.696273657233487e-05,136977.8004724992,0.010569274727816297
4XMM J033450.3-280419,53.70980723175601,-28.072192475247004,1.934494376182556,ECDFS,4XMMDR14,1.2239476162992976e-14,2.0734130505707995,4.063889579118767,5063,11,True,True,True,6.112541792891201e+17,4,42,8.293652202283198,20.0,216.0934163403919,1256.6370659774598,1.6673874717622835e-05,9.696273657233487e-05,473291.0533563608,0.03651937140095378
4XMM J033346.3-284015,53.443286074141,-28.670907303262,1.9360953569412231,ECDFS,4XMMDR14,9.038631828943171e-15,2.0751289999370024,4.067252839876525,4849,77,True,False,False,,0,4,8.30051599974801,20.0,216.45121903245922,1256.6370659774598,1.6701482950035437e-05,9.696273657233487e-05,49837.24798049575,0.0038454666651617096
4XMM J033315.7-273933,53.315631839708,-27.659284823779,1.9375689029693604,ECDFS,4XMMDR14,8.642289019296888e-15,2.076708363311212,4.070348392089974,5063,43,True,True,False,6.112563783123644e+17,3,33,8.306833453244847,20.0,216.78082725227506,1256.6370659774598,1.6726915683045917e-05,9.696273657233487e-05,373897.8384903,0.028850141858819445
4XMM J033340.7-280839,53.419932210554,-28.144238878412,1.942819118499756,ECDFS,4XMMDR14,7.337846422064004e-15,2.0823356039654404,4.081377783772263,5063,13,True,True,True,6.112543167280703e+17,4,36,8.329342415861761,20.0,217.95724902656636,1256.6370659774598,1.681768896809926e-05,9.696273657233487e-05,399276.0745245202,0.03080833908368212
4XMM J033127.9-274429,52.8663890661,-27.741532961699,1.9428309202194207,ECDFS,4XMMDR14,6.0834266260806426e-15,2.08234825318266,4.081402576238013,5063,36,True,True,True,6.11255897276042e+17,3,27,8.32939301273064,20.0,217.95989040344045,1256.6370659774598,1.6817892778043247e-05,9.696273657233487e-05,299457.8174186849,0.023106313072429392
4XMM J033057.3-281209,52.73913190539599,-28.202712394412995,1.9439117908477783,ECDFS,4XMMDR14,4.997436367043485e-15,2.08350674260212,4.083673215500156,5063,6,True,True,False,6.112538356917421e+17,6,47,8.33402697040848,20.0,218.20248157837062,1256.6370659774598,1.683661123289897e-05,9.696273657233487e-05,511693.2813899702,0.039482506280090306
4XMM J033436.8-282309,53.653651535889,-28.386025104747,1.944076657295227,ECDFS,4XMMDR14,7.29969605811967e-15,2.0836834483335767,4.08401955873381,4849,85,True,False,False,,6,34,8.334733793334307,20.0,218.2394905329997,1256.6370659774598,1.6839466862114176e-05,9.696273657233487e-05,349461.5247389019,0.02696462382244614
4XMM J033149.1-275103,52.954657692311,-27.850863487538,1.9459538459777832,ECDFS,4XMMDR14,8.272663322872898e-15,2.085695440490657,4.087963063361688,5063,35,True,True,False,6.112558285565581e+17,11,52,8.342781761962629,20.0,218.6611611243146,1256.6370659774598,1.6872003173172425e-05,9.696273657233487e-05,511919.3976619118,0.03949995352329566
4XMM J033323.3-274638,53.347336973315,-27.777389581134,1.950118899345398,ECDFS,4XMMDR14,5.0793474176582905e-15,2.090159592010073,4.096712800339743,5063,33,True,True,True,6.112556911176099e+17,7,47,8.360638368040291,20.0,219.59819698999485,1256.6370659774598,1.6944305323302074e-05,9.696273657233487e-05,499884.8312273491,0.03857136043420904
4XMM J033152.6-272932,52.96945337998999,-27.492327091999,1.9512460231781008,ECDFS,4XMMDR14,1.0738565967710351e-14,2.091367656139443,4.099080606033309,5063,55,True,False,False,,0,4,8.365470624557773,110.0,219.85209563221747,38013.27022191364,1.6963896267918016e-05,0.0029331227023081516,1371.6674111556642,0.00010583853481139386
2CXO J033301.6-273355,53.25666666666666,-27.565325,4.1,ECDFS,CSC2.1,3.633e-16,2.091836734693877,4.1,5063,44,True,True,False,6.112564470318569e+17,7,54,8.367346938775508,20.0,219.95074660670585,1256.6370659774598,1.6971508225826072e-05,9.696273657233487e-05,587564.4238941269,0.0453367611029419
4XMM J033100.7-281958,52.753033739262,-28.333039811412,1.953551173210144,ECDFS,4XMMDR14,4.890264252842714e-15,2.093838342133059,4.103923150580796,4848,91,True,True,True,6.097822080974298e+17,7,43,8.375353368532236,20.0,220.3718533085757,1256.6370659774598,1.7004001026896275e-05,9.696273657233487e-05,450232.2323436703,0.03474014138454247
4XMM J033056.3-273331,52.734609913197,-27.558805398657995,1.956416606903076,ECDFS,4XMMDR14,2.8004310228721928e-14,2.09690954651991,4.109942711179023,5063,46,True,True,False,6.112565844708074e+17,4,37,8.38763818607964,20.0,221.01881257237594,1256.6370659774598,1.7053920723177158e-05,9.696273657233487e-05,412970.7047879854,0.03186502351759147
4XMM J033402.6-275224,53.510923411855,-27.873336995561,1.957517385482788,ECDFS,4XMMDR14,9.429562436869684e-14,2.098089373507811,4.11225517207531,5063,22,True,True,False,6.11254935203371e+17,6,39,8.392357494031245,20.0,221.26760653120144,1256.6370659774598,1.7073117787901348e-05,9.696273657233487e-05,413069.93952548486,0.031872680518941744
4XMM J033112.2-282652,52.80119229261099,-28.447982449925,1.9609339237213133,ECDFS,4XMMDR14,2.2335931864378263e-14,2.1017512580078384,4.119432465695363,4848,81,True,True,False,6.097815209026675e+17,7,50,8.407005032031353,20.0,222.0406396035536,1256.6370659774598,1.7132765401508766e-05,9.696273657233487e-05,538644.8143390331,0.04156209987183899
