objectId,field_X,name_X,cat_X,F_X,ra_MIL,dec_MIL,RA_MIL,DEC_MIL,NAME_MIL,TYPE_MIL,RMAG_MIL,BMAG_MIL,COMMENT_MIL,R_MIL,B_MIL,Z_MIL,CITE_MIL,ZCITE_MIL,XNAME_MIL,RNAME_MIL,LOBE1_MIL,LOBE2_MIL,_dist_arcsec,otype_consolidated,F_opt,g_psfMag,i_psfMag,r_psfMag,u_psfMag,y_psfMag,z_psfMag,g_psfFlux,g_psfFluxErr,i_psfFlux,i_psfFluxErr,r_psfFlux,r_psfFluxErr,u_psfFlux,u_psfFluxErr,y_psfFlux,y_psfFluxErr,z_psfFlux,z_psfFluxErr,refExtendedness,near_bright_flag
611255759837091099,ECDFS,4XMM J033259.0-274339,4XMMDR14,1.1744700501579216e-14,53.2460865019141,-27.7277393846974,53.2460785,-27.7277489,CDFS J03329-2743B        ,KX  ,21.65,22.29,jN ,-,-,0.733,1834  ,1874  ,CXOG J033259.0-274340 ,                      ,4XMM J033259.0-274339 ,LSXPS J033259.1-274339,0.0002042777023632,QSO,4.2017900936103446e-14,22.161604,21.07182,21.641432,22.61853,20.547121,20.74418,4958.593,13.304545,13529.201,30.203506,8006.2153,19.79568,3255.2773,95.10639,21935.69,443.7419,18294.793,57.29008,1.0,False
611255759837087891,ECDFS,4XMM J033303.6-274519,4XMMDR14,1.1109967892224732e-14,53.2650932262261,-27.7552691534878,53.265095,-27.755262,CDFS J03330-2745B        ,QX  ,23.06,23.48,D  ,n,n,1.26,1834  ,1874  ,CXO J033303.6-274518  ,                      ,4XMM J033303.6-274519 ,LSXPS J033303.6-274516,0.000221740891008,QSO,1.5087774178214466e-14,23.072683,22.32331,22.556477,23.328814,22.02413,22.199366,2142.5288,11.861728,4272.4336,26.816387,3446.7454,15.605165,1692.2893,100.50541,5627.9233,381.1714,4789.0986,53.725998,1.0,False
611255759837093163,ECDFS,2CXO J033301.4-274142,CSC2.1,8.523e-15,53.25620192427149,-27.695117433501864,53.2561989,-27.6951122,3D-HST 45789             ,AX  ,23.99,25.11,d  ,n,n,0.985,GSAC  ,GSAC  ,CXOG J033301.4-274142 ,                      ,4XMM J033301.4-274142 ,LSXPS J033301.4-274141,0.0006242561615607,AGN,7.37848314799472e-15,25.289728,22.86955,23.922337,25.701124,21.645205,22.155283,278.04074,14.72907,2583.3271,30.842041,979.63824,21.338886,190.34879,126.505165,7978.438,506.44943,4987.544,61.359287,1.0,False
611255759837093254,ECDFS,2CXO J033247.9-274148,CSC2.1,1.385e-14,53.199663533781646,-27.696724910993066,53.1995833,-27.6967397,CDFS J03327-2741         ,NX  ,22.88,25.72,n  ,n,n,0.735,1834  ,1874  ,CXOG J033247.9-274148 ,                      ,4XMM J033247.9-274148 ,LSXPS J033248.0-274146,0.0008506750729601,AGN,1.7202474271757194e-14,23.558874,21.879845,22.76375,24.521122,21.168406,21.442703,1369.1472,14.160027,6427.8,30.862602,2847.7363,20.491154,564.35364,114.135345,12377.648,433.26154,9614.33,58.35107,1.0,False
611256447031849221,ECDFS,2CXO J033301.3-274043,CSC2.1,6.271e-15,53.25557940925936,-27.67884681533028,53.2555618,-27.6788368,3D-HST 48793             ,QX  ,23.17,24.02,d  ,n,n,1.735,GSAC  ,GSAC  ,CXOG J033301.3-274043 ,                      ,4XMM J033301.3-274044 ,                      ,0.0009564417998275,QSO,1.0264417348618457e-14,24.031069,22.7118,23.361755,24.003935,21.65843,22.047737,886.2832,15.598124,2987.308,32.469852,1641.7157,23.514595,908.71094,152.03345,7881.84,550.6453,5506.877,64.91459,1.0,False
611256447031849702,ECDFS,2CXO J033249.1-274050,CSC2.1,1.227e-15,53.20500833663564,-27.68077465813653,53.205015,-27.680761,CDFS J03328-2740         ,KRX ,22.63,23.29,D  ,n,n,1.222,1834  ,1834  ,CXOG J033249.2-274050 ,VLAJ033249.18-274050.2,RACS J033249.2-274050 ,4XMM J033249.2-274050 ,0.0008493311528391,QSO,1.0576486374880079e-14,23.744856,22.78695,23.210356,24.058777,21.680426,22.13786,1153.6064,15.010568,2787.5374,32.63134,1887.3722,23.533314,863.95135,171.48569,7723.774,525.62823,5068.2285,59.456505,1.0,False
611255759837093599,ECDFS,2CXO J033250.1-274135,CSC2.1,2.161e-16,53.20884326627936,-27.693044089257743,53.2087903,-27.6930252,CDFS J03328-2741         ,QX  ,21.97,22.43,DN ,1,1,0.972,1834  ,1874  ,CXOG J033250.1-274135 ,                      ,4XMM J033250.3-274135 ,                      ,0.008411463049894,QSO,1.4418797234112714e-14,23.502512,22.336304,22.968897,23.808245,21.355007,21.714085,1442.0994,14.291675,4221.611,30.598753,2357.4429,20.955194,1088.1833,112.80007,10423.107,447.87335,7488.0103,59.310295,1.0,False
611255759837092438,ECDFS,2CXO J033301.0-274217,CSC2.1,2.23e-16,53.25458560982292,-27.70489672917601,53.2545967,-27.7048931,3D-HST 43386             ,A   ,23.55,25.37,d  ,n,n,0.972,GSAC  ,GSAC  ,                      ,                      ,                      ,                      ,0.0007273759920399,AGN,6.2245332003252e-15,25.073996,23.067003,23.989767,26.132858,21.982168,22.369534,339.1576,14.092671,2153.7664,30.75565,920.6463,20.117693,127.89603,104.44321,5849.692,477.24017,4094.368,60.15207,1.0,False
611255759837092042,ECDFS,2CXO J033249.3-274302,CSC2.1,0.0,53.20553007549221,-27.71734279269422,53.2055397,-27.7173195,3D-HST 41435             ,A   ,20.8,21.26,d  ,-,1,0.081,GSAC  ,GSAC  ,                      ,                      ,                      ,                      ,0.0004504729868687,AGN,4.381482540433273e-14,21.727797,21.195204,21.370827,22.652874,20.97386,21.081642,7394.0303,15.262523,12075.861,30.316786,10272.34,20.901579,3153.9155,98.77628,14806.621,414.6366,13407.353,56.399097,1.0,False
611256378312373509,ECDFS,2CXO J033321.0-273911,CSC2.1,2.068e-14,53.33784531490854,-27.65334154079004,53.3378454,-27.65334,Boutsia 28               ,QX  ,19.18,21.22,jG ,-,-,1.22,0224  ,0224  ,CXOG J033321.0-273911 ,                      ,4XMM J033320.9-273911 ,                      ,0.0009686243557931,QSO,1.360623681216088e-13,20.432043,20.19767,20.204548,20.45387,20.11061,20.222265,24388.379,29.42502,30264.414,47.963436,30073.309,42.008537,23902.973,174.10336,32791.13,724.21063,29586.496,88.06514,1.0,False
611256378312377480,ECDFS,2CXO J033318.9-273342,CSC2.1,2.582e-14,53.32919515186962,-27.561905197265062,53.329192,-27.5618755,ECDF-S 25                ,QX  ,22.83,23.45,n  ,n,n,0.954,1874  ,1874  ,CXOG J033319.0-273342 ,                      ,2XMMi J033318.9-273344,                      ,0.0013901947533831,QSO,1.5331431135714346e-14,23.352034,22.140987,22.810669,23.994612,21.621574,21.648066,1656.4807,43.873005,5053.6465,86.04419,2727.296,77.65028,916.548,237.55885,8153.9946,1570.4918,7957.441,189.65344,1.0,False
611256378312376233,ECDFS,2CXO J033318.4-273551,CSC2.1,3.071e-15,53.32698016326912,-27.597774349501503,53.3269663,-27.5977363,ECDF-S 28                ,NX  ,22.93,25.48,n  ,n,n,0.508,1874  ,1874  ,CXOG J033318.4-273552 ,                      ,                      ,                      ,0.0211767081505995,AGN,1.2342994141093882e-14,24.683712,22.01861,23.16195,,21.16271,21.65308,485.86438,25.938473,5656.6074,67.40583,1973.4249,56.87009,-679.3573,468.22882,12442.738,1640.271,7920.776,121.62985,1.0,False
611256378312377448,ECDFS,2CXO J033328.4-273347,CSC2.1,7.368e-15,53.36879961931611,-27.56339546983478,53.368784,-27.563374,ECDF-S 101               ,QX  ,24.59,24.88,D  ,n,n,2.192,1874  ,1874  ,CXOG J033328.5-273348 ,                      ,4XMM J033328.5-273348 ,                      ,0.122122984535946,QSO,3.037080745468716e-15,24.795248,24.38417,24.740187,24.210026,23.42911,24.146254,438.43027,61.104717,640.22345,90.21703,461.23804,77.157196,751.60516,403.4408,1542.9666,1579.8583,797.0736,233.936,1.0,False
611256447031855415,ECDFS,4XMM J033228.5-273537,4XMMDR14,1.115399412372417e-13,53.11900836567629,-27.593662165186263,53.1189973,-27.5936667,SWIRE3J033228.55-273537.0,KX  ,19.9,22.63,jN ,-,-,0.524,ATLAS ,ATLAS ,CXOG J033228.5-273537 ,                      ,4XMM J033228.5-273537 ,                      ,0.0009868229639247,QSO,8.612215703671036e-14,21.978176,20.122017,20.831467,23.05793,19.43344,19.712448,5871.2354,21.42738,32448.37,53.81473,16881.604,54.83787,2171.8416,246.19534,61182.06,834.15344,47317.36,103.18309,1.0,False
