name,ra,dec,e_pos_raw,field,cat,F,e_pos_1sig,e_pos_95,tract,patch,DP1_flag,obj_flag,dia_flag,objectId
2CXO J002410.6-720516,6.044458333333333,-72.087875,0.33,47Tuc,CSC2.1,8.666e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002408.5-720438,6.035708333333334,-72.07746944444445,0.33,47Tuc,CSC2.1,4.3e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002409.5-720504,6.03975,-72.08465833333332,0.33,47Tuc,CSC2.1,4.646e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002411.3-720451,6.047041666666667,-72.08088333333333,0.33,47Tuc,CSC2.1,4.321e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002415.6-720441,6.065416666666667,-72.07818333333333,0.33,47Tuc,CSC2.1,5.702e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002357.8-720452,5.991083333333333,-72.08135833333333,0.33,47Tuc,CSC2.1,4.321e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002359.3-720135,5.997375,-72.0265611111111,0.33,47Tuc,CSC2.1,8.439e-15,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002403.2-720429,6.013375000000001,-72.07493888888888,0.33,47Tuc,CSC2.1,8.484e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002402.6-720441,6.011083333333334,-72.078175,0.33,47Tuc,CSC2.1,5.822e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002419.4-720431,6.080875000000001,-72.07541388888889,0.33,47Tuc,CSC2.1,4.798e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002316.1-720733,5.817291666666667,-72.1259361111111,0.33,47Tuc,CSC2.1,1.878e-14,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002405.1-720604,6.021666666666667,-72.10123888888889,0.33,47Tuc,CSC2.1,1.122e-15,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002405.7-720452,6.023791666666667,-72.0812611111111,0.33,47Tuc,CSC2.1,3.758e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002315.3-720634,5.813916666666666,-72.10953888888888,0.33,47Tuc,CSC2.1,1.188e-14,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002404.2-720420,6.017666666666667,-72.07229444444444,0.33,47Tuc,CSC2.1,8.054e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002401.4-720504,6.005750000000001,-72.0845611111111,0.33,47Tuc,CSC2.1,2.833e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002408.1-720451,6.03375,-72.08088888888888,0.33,47Tuc,CSC2.1,5.553e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002412.1-720455,6.050583333333334,-72.08198055555555,0.33,47Tuc,CSC2.1,6.652e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002411.5-720224,6.048041666666667,-72.04012222222222,0.33,47Tuc,CSC2.1,4.768e-15,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002410.5-720506,6.043958333333333,-72.08516388888889,0.33,47Tuc,CSC2.1,5.496e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002406.1-720451,6.025791666666667,-72.08097222222221,0.33,47Tuc,CSC2.1,6.48e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002344.8-720602,5.936875,-72.10061388888889,0.33,47Tuc,CSC2.1,6.402e-15,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002411.9-720443,6.049541666666666,-72.07889722222222,0.33,47Tuc,CSC2.1,5.428e-16,0.1683673469387755,0.33,453,52,True,False,False,
2CXO J002400.9-720414,6.004041666666667,-72.07056388888888,0.34,47Tuc,CSC2.1,1.93e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002401.3-720427,6.005625,-72.07422222222222,0.34,47Tuc,CSC2.1,2.597e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002421.4-720433,6.089375,-72.07584444444444,0.34,47Tuc,CSC2.1,2.672e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002402.6-720434,6.010916666666667,-72.07627222222222,0.34,47Tuc,CSC2.1,4.076e-16,0.173469387755102,0.34,453,52,True,False,False,
